status,count
Engine,59
Brakes,29
Power Unit,26
Gearbox,25
Hydraulics,14
Suspension,12
Wheel,9
Power loss,9
Overheating,7
Oil leak,6
Puncture,6
Water pressure,6
Electrical,6
Fuel pressure,5
Undertray,4
Mechanical,4
Exhaust,4
Battery,3
Electronics,3
Water leak,3
Turbo,3
Driveshaft,2
Vibrations,2
Damage,2
Steering,2
Transmission,2
Front wing,2
Wheel nut,2
Fuel leak,2
Radiator,2
Rear wing,2
Water pump,1
Differential,1
Fuel pump,1
Technical,1
Cooling system,1
Debris,1
Oil pressure,1
Tyre,1
Spark plugs,1
Seat,1